id,message_content,spam_status,language,timestamp
14,"🎬```Myocardium```

🎞**Movie Info**
**Myocardium** (Spanish: Miocardio) is a 2024 Spanish comedy-drama film written and directed by José Manuel Carrasco starring Vito Sanz and Marina Salas.

📝️**Synopsis**:
Pablo, a middling writer in crisis and dumped by his wife, receives an unexpected visit from Ana, the former fling who broke his heart 15 years ago, upending his miserable existence.

😀**Genre**: #Drama #Comedy
🗣**Language**: Spanish
🌍**Country**: Spain
🗓**Release Date**: 24 January 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Myocardium_(film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",Spam,Unknown,"2025-02-02 09:47:35"
15,"🎬```Presence```

🎞**Movie Info**
**Presence** is a 2024 American supernatural thriller drama film directed by Steven Soderbergh and written by David Koepp. It stars Lucy Liu, Chris Sullivan, and Callina Liang.

📝️**Synopsis**:
The Paynes, a family of four—mother Rebecca, father Chris, elder brother Tyler, and younger sister Chloe—move into a large suburban house inhabited by a poltergeist (referred to in-universe as the "Presence.") The entire film is presented from the Presence's point of view in a series of long takes.

😀**Genre**: #Drama #Thriller
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 85 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Presence_(2024_film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:35"
16,"🎬```Brave the Dark```

🎞**Movie Info**
**Brave the Dark** is a 2023 American drama film directed by Damian Harris and starring Jared Harris and Nicholas Hamilton. The film premiered at the Heartland International Film Festival in October 2023, and was released in the United States on January 24, 2025.

📝️**Synopsis**:
A teacher discovers one of his students has been thrown into jail, and decides to bail him out but quickly discovers the student has dark secrets.

😀**Genre**: #Drama
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 122 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Brave_the_Dark)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:36"
17,"🎬```Flight Risk```

🎞**Movie Info**
**Flight Risk** is a 2025 American action thriller film directed by Mel Gibson and starring Mark Wahlberg,  Michelle Dockery, and Topher Grace. Its plot follows a pilot (Wahlberg) transporting an Air Marshal (Dockery) and a fugitive (Grace) across the Alaskan wilderness, where the identities and intentions of those onboard come into question.

📝️**Synopsis**:
Madolyn Harris, a U.S. Marshal, arrests an accountant named Winston while he is hiding out in a remote part of Alaska after turning informant against his former employer, the Moretti crime family. Madolyn charters a small private airplane to take them to Anchorage so they can transfer to New York City, where she intends for Winston to testify against the📝️

😀**Genre**: #Action #Thriller
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 91 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Flight_Risk_(film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",Spam,Unknown,"2025-02-02 09:47:36"
18,"🎬```Inheritance```

🎞**Movie Info**
**Inheritance** is a 2025 American espionage action film directed by Neil Burger from a screenplay he co-wrote with Olen Steinhauer starring Phoebe Dynevor and Rhys Ifans. The film was released in theaters on January 24, 2025.

📝️**Synopsis**:
A young woman is drawn into an international conspiracy after discovering her father is a spy.

😀**Genre**: #Action
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 101 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Inheritance_(2025_film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:36"
19,"🎬```Dark Nuns```

🎞**Movie Info**
**Dark Nuns** (Korean: 검은 수녀들; also known as The Priest 2: **Dark Nuns**) is a 2025 South Korean supernatural thriller film directed by Kwon Hyeok-jae, and starring Song Hye-kyo, Jeon Yeo-been, Lee Jin-wook, and Moon Woo-jin. The film is a spin-off of the 2015 film The Priests by Jang Jae-hyun, and it follows the two nuns who work together to save a boy who has been possessed by an evil spirit. It was released on January 24, 2025.

📝️**Synopsis**:
The film centers around the two nuns, Sister Junia and Sister Michaela, who are confronted with a young boy named Hee-joon, who has been possessed by a powerful evil spirit. Sister Junia, driven by her faith and compassion, takes it upon herself to save the boy, while Sister Michaela, initially skeptical, is drawn into the investigation.

😀**Genre**: #Thriller
🗣**Language**: Korean
🌍**Country**: South Korea
🗓**Release Date**: January 24, 2025
⏳**Running time**: 114 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Dark_Nuns)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:47:36"
20,"🎬```Hitman 2```

🎞**Movie Info**
**Hitman 2** (Korean: 히트맨 2) is an upcoming South Korean action comedy film directed by Choi Won-sub. The film, a sequel to the 2020 film Hitman: Agent Jun, stars Kwon Sang-woo, Jung Joon-ho, Lee Yi-kyung, Hwang Woo-seul-hye, Kim Sung-oh, Lee Ji-won, Lee Soon-won and Kim Sung-oh. It was released on January 22, 2025.

📝️**Synopsis**:
Jun, who gained brief fame as the creator of the webtoon Assassination Agent Jun, quickly earns the reputation of a "brainless writer" after Season 2 gets criticized miserably, but things take a turn when a real-life terrorist attack mirrors the plot of Season 2, leaving Jun wrongly accused by the NIS of being the mastermind behind the crime.

😀**Genre**: #Comedy #Action
🗣**Language**: Korean
🌍**Country**: South Korea
🗓**Release Date**: January 22, 2025
⏳**Running time**: 118 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Hitman_2_(2025_film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",Spam,Unknown,"2025-02-02 09:47:37"
21,"Finance Minister Nirmala Sitharaman in her speech said: "In recognition of the middle class contribution to nation building, we have periodically reduced their tax burden. I am happy to announce that there will be no income tax payable upto incomes of ₹12 lakh.” This limit will be ₹12.7 lakh for salaried tax payers due to the standard deduction of ₹75,000. Slabs and rates are being eased across the board.","Not Spam",Unknown,"2025-02-02 09:47:37"
22,"[What WHO’s recommendation for low sodium salt means for India](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/117908/OPS/GQ9DSSRAF.1+GS8DU3OLV.1.html) - The WHO released guidelines recommending lower-sodium salt substitutes, essentially including potassium chloride and reducing percentage of sodium chloride in table salt. This comes after the international body strongly recommended reducing sodium intake to less than 2g a day","Not Spam",Unknown,"2025-02-02 09:47:37"
23,"[More and better](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/117908/OPS/GQ9DSSRAK.1+GTRDU2BG8.1.html) - India needs good educational infrastructure in all districts","Not Spam",Unknown,"2025-02-02 09:47:38"
24,"[What ‘Severance’ teaches us about corporate indoctrination](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/117908/OPS/GQ9DSSRAV.1+GS8DU2VS9.1.html) - The vision behind Apple TV’s biting fable of modern work culture feels uncomfortably proximate to the truths exposed in the ongoing work week debate in India. What Severance captures so brilliantly is the corporatisation of human identity itself","Not Spam",Unknown,"2025-02-02 09:47:38"
25,"[Maharashtra reports 3 more cases of GBS, total mounts to 130](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/117907/OPS/GQ9DSSRAC.1+G0DDU3KCU.1.html) - The new cases were reported in Pune district; 20 patients are on ventilator; more water samples sent for chemical and biological analysis","Not Spam",Unknown,"2025-02-02 09:47:38"
26,"[Hundreds stuck in Prayagraj traffic snarl for over 30 hours](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/117908/OPS/GQ9DSSRA3.1+GI7DU3ARO.1.html) - Allow vehicles to first exit before allowing new entrants into the city, plead pilgrims who attended the Maha Kumbh; police say delays were only for a couple of hours; villagers help with food, water; pilgrims forced to walk 12 km to reach parking lot",Spam,Unknown,"2025-02-02 09:47:39"
27,"[The broken window fallacy](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/69604/OPS/GSICAHGF2.1+GE0CBKS3D.1.html) - The idea was widely popularised by American economic journalist Henry Hazlitt",Spam,Unknown,"2025-02-02 09:47:39"
28,"[Economic fundamentals robust amid ‘strong downsides’: Survey](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/118041/OPS/G2KDT22M3.1+G2GDU9L66.1.html) - Urban demand trends mixed; green shoots seen in capital formation’","Not Spam",Unknown,"2025-02-02 09:47:39"
29,"[Forgery, ghost applicants, fake ration cards mar JMM govt.’s scheme for women](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/118041/OPS/G2KDT22MA.1+GMNDU9P0H.1.html) - 11,200 fake applications detected in Bokaro district; Deputy Commissioner orders registration of FIRs against offenders; State has become breeding ground for corruption under Soren, says BJP",Spam,Unknown,"2025-02-02 09:47:39"
30,"[Kerala’s plan to cut minority scholarships triggers furore](https://epaper.thehindu.com/ccidist-ws/th/th_international/issues/118041/OPS/GB4DU9VLU.1+GH1DU9UDV.1.html) - Indian Union Muslim League terms the move biased, blames Department of Minority Welfare for ‘inattention’; Syro-Malabar Church’s Public Affairs Commission calls for restoration of scholarships",Spam,Unknown,"2025-02-02 09:47:40"
31,"For all the details from our most recent update, like **unique links** for collectible gifts and the ability to **filter gifts** on channel profiles – check out our blog: https://telegram.org/blog/wear-gifts-blockchain-and-more

January Features[
](https://t.me/telegram/367)[1 ](https://t.me/telegram/357)• [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • **More**","Not Spam",Unknown,"2025-02-02 09:47:40"
32,"**Share Gifts.** Collectible gifts on your profile can now be **posted to your story** – with an **animated preview** that shows off your rare artwork and lucky numbers.

January Features[
](https://t.me/telegram/367)[1 ](https://t.me/telegram/357)• [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • **9** • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:41"
33,"**Give Gifts to Channels.** To celebrate holidays and achievements, subscribers can now **send gifts** to channels, which are displayed on the channel's profile.

January Features[
](https://t.me/telegram/367)[1 ](https://t.me/telegram/357)• [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • **8** • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:41"
34,"**Move Gifts to the Blockchain.** Like collectible [usernames](https://t.me/TelegramTips/360) and [numbers](https://t.me/TelegramTips/363), gifts can now be **transferred** or **auctioned** via the TON blockchain. This gives owners **permanent control** – even if they lose access to or delete their Telegram account.

January Features[
](https://t.me/telegram/367)[1 ](https://t.me/telegram/357)• [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • **7** • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)",Spam,Unknown,"2025-02-02 09:47:41"
35,"**Wear Collectible Gifts.** Gifts that you [upgrade to collectibles](https://t.me/TelegramTips/498) can be used as a unique emoji status – with a **glittering star effect** and **unique appearance** for [your profile](https://t.me/TelegramTips/409).

January Features
[1 ](https://t.me/telegram/357)• [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • **6** • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:42"
36,"For all the features from this update, including **custom emoji** in folder names, an in-app **QR code scanner** and more – check out our blog:
https://telegram.org/blog/collectible-gifts-and-more

January Features
[1](https://t.me/telegram/357) • [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • **5** • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:42"
37,"**Verification from Third Parties.** Telegram allows public figures and organizations to **become verified**, so users can quickly identify **official sources**.

Third-party services are now able to assign **extra verification icons** to user accounts, mini apps and public chats – which will help **prevent scams** and **reduce misinformation**.

January Features
[1](https://t.me/telegram/357) • [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • **4** • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:42"
38,"**Message Search Filters.** Search results in the __'Chats'__ tab now have **extra filters** that let you **refine the list** to show items only from **private chats**, **group chats** or **channels**.

January Features
[1](https://t.me/telegram/357) • [2](https://t.me/telegram/358) • **3** • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:43"
39,"**Reactions for Service Messages.** When someone sends you a gift or joins a group, a special **service message** appears in the conversation.

These messages now **support reactions** – so you can say thanks or welcome new members in two taps.

January Features
[1](https://t.me/telegram/357) • **2** • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:43"
40,"**Collectible Gifts.** Over 20 [existing gifts](https://t.me/telegram/335) on Telegram can now be **upgraded to collectibles** – with more coming soon.

When you upgrade a gift it unlocks a **new appearance** from dozens of **custom variations** made by Telegram artists, as well as random **secondary traits**.

Collectible gifts can be **transferred** to other users or **auctioned** on NFT marketplaces.

January Features
**1** • [2](https://t.me/telegram/358) • [3](https://t.me/telegram/359) • [4](https://t.me/telegram/360) • [5](https://t.me/telegram/361) • [6](https://t.me/telegram/362) • [7](https://t.me/telegram/363) • [8](https://t.me/telegram/364) • [9](https://t.me/telegram/365) • [More](https://t.me/telegram/366)","Not Spam",Unknown,"2025-02-02 09:47:43"
41,"🎬```Limonov: The Ballad```

🎞**Movie Info**
**Limonov: The Ballad** is a 2024 biographical film directed by Kirill Serebrennikov. It is based on Emmanuel Carrère's 2011 book Limonov, a novelized biography of the Russian dissident writer and politician Eduard Limonov, who founded the National Bolshevik Party.

📝️**Synopsis**:
A revolutionary militant, a thug, an underground writer, a butler to a millionaire in Manhattan. But also a switchblade waving poet, a lover of beautiful women, a warmonger, a political agitator and a novelist who wrote of his own greatness. Eduard Limonov's life story is a journey through Russia, America and Europe during the second half of the 20th century.

😀**Genre**: #Biopic
🗣**Language**: English
🌍**Country**: France, Italy, Spain
🗓**Release Date**: 21 February 2025
⏳**Running time**: 138 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Limonov:_The_Ballad)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:31"
42,"🎬```Still Life with Ghosts```

🎞**Movie Info**
**Still Life with Ghosts** (Spanish: Bodegón con fantasmas) is a 2024 Spanish-Serbian ensemble comedy film written and directed by Enrique Buleo.

📝️**Synopsis**:
Structured in five episodes, the plot follows the mishaps of townsfolk and ghosts in a village of La Mancha.

😀**Genre**: #Comedy
🗣**Language**: Spanish
🌍**Country**: Spain, Serbia
🗓**Release Date**: 24 January 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Still_Life_with_Ghosts)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:32"
43,"🎬```Rich Flu```

🎞**Movie Info**
**Rich Flu** (Spanish: La fiebre de los ricos) is a 2024 Spanish film written, directed, and produced by Galder Gaztelu-Urrutia. It stars Mary Elizabeth Winstead, Rafe Spall, Lorraine Bracco, Jonah Hauer-King, and Timothy Spall. It premiered at the 57th Sitges Film Festival on October 6, 2024.

📝️**Synopsis**:
A disease targets the richest people on Earth, starting with billionaires, then millionaires, and so on, causing people to give away their assets to avoid death.

😀**Genre**: # 
🗣**Language**: English
🌍**Country**: Spain
🗓**Release Date**: January 24, 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Rich_Flu)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:32"
44,"🎬```Myocardium```

🎞**Movie Info**
**Myocardium** (Spanish: Miocardio) is a 2024 Spanish comedy-drama film written and directed by José Manuel Carrasco starring Vito Sanz and Marina Salas.

📝️**Synopsis**:
Pablo, a middling writer in crisis and dumped by his wife, receives an unexpected visit from Ana, the former fling who broke his heart 15 years ago, upending his miserable existence.

😀**Genre**: #Drama #Comedy
🗣**Language**: Spanish
🌍**Country**: Spain
🗓**Release Date**: 24 January 2025
⏳**Running time**: ----
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Myocardium_(film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",Spam,Unknown,"2025-02-02 09:56:32"
45,"🎬```Presence```

🎞**Movie Info**
**Presence** is a 2024 American supernatural thriller drama film directed by Steven Soderbergh and written by David Koepp. It stars Lucy Liu, Chris Sullivan, and Callina Liang.

📝️**Synopsis**:
The Paynes, a family of four—mother Rebecca, father Chris, elder brother Tyler, and younger sister Chloe—move into a large suburban house inhabited by a poltergeist (referred to in-universe as the "Presence.") The entire film is presented from the Presence's point of view in a series of long takes.

😀**Genre**: #Drama #Thriller
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 85 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Presence_(2024_film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:32"
46,"🎬```Brave the Dark```

🎞**Movie Info**
**Brave the Dark** is a 2023 American drama film directed by Damian Harris and starring Jared Harris and Nicholas Hamilton. The film premiered at the Heartland International Film Festival in October 2023, and was released in the United States on January 24, 2025.

📝️**Synopsis**:
A teacher discovers one of his students has been thrown into jail, and decides to bail him out but quickly discovers the student has dark secrets.

😀**Genre**: #Drama
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 122 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Brave_the_Dark)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:33"
47,"🎬```Flight Risk```

🎞**Movie Info**
**Flight Risk** is a 2025 American action thriller film directed by Mel Gibson and starring Mark Wahlberg,  Michelle Dockery, and Topher Grace. Its plot follows a pilot (Wahlberg) transporting an Air Marshal (Dockery) and a fugitive (Grace) across the Alaskan wilderness, where the identities and intentions of those onboard come into question.

📝️**Synopsis**:
Madolyn Harris, a U.S. Marshal, arrests an accountant named Winston while he is hiding out in a remote part of Alaska after turning informant against his former employer, the Moretti crime family. Madolyn charters a small private airplane to take them to Anchorage so they can transfer to New York City, where she intends for Winston to testify against the📝️

😀**Genre**: #Action #Thriller
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 91 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Flight_Risk_(film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me",Spam,Unknown,"2025-02-02 09:56:33"
48,"🎬```Inheritance```

🎞**Movie Info**
**Inheritance** is a 2025 American espionage action film directed by Neil Burger from a screenplay he co-wrote with Olen Steinhauer starring Phoebe Dynevor and Rhys Ifans. The film was released in theaters on January 24, 2025.

📝️**Synopsis**:
A young woman is drawn into an international conspiracy after discovering her father is a spy.

😀**Genre**: #Action
🗣**Language**: English
🌍**Country**: United States
🗓**Release Date**: January 24, 2025
⏳**Running time**: 101 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Inheritance_(2025_film))
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:33"
49,"🎬```Dark Nuns```

🎞**Movie Info**
**Dark Nuns** (Korean: 검은 수녀들; also known as The Priest 2: **Dark Nuns**) is a 2025 South Korean supernatural thriller film directed by Kwon Hyeok-jae, and starring Song Hye-kyo, Jeon Yeo-been, Lee Jin-wook, and Moon Woo-jin. The film is a spin-off of the 2015 film The Priests by Jang Jae-hyun, and it follows the two nuns who work together to save a boy who has been possessed by an evil spirit. It was released on January 24, 2025.

📝️**Synopsis**:
The film centers around the two nuns, Sister Junia and Sister Michaela, who are confronted with a young boy named Hee-joon, who has been possessed by a powerful evil spirit. Sister Junia, driven by her faith and compassion, takes it upon herself to save the boy, while Sister Michaela, initially skeptical, is drawn into the investigation.

😀**Genre**: #Thriller
🗣**Language**: Korean
🌍**Country**: South Korea
🗓**Release Date**: January 24, 2025
⏳**Running time**: 114 minutes
©️**Source**: [Wikipedia](https://en.wikipedia.org/wiki/Dark_Nuns)
✅Free encyclopedia & fair use

➡️ **Channel** Movie.t.me","Not Spam",Unknown,"2025-02-02 09:56:33"
